"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","16-Dec-2014","       2358.65","       2350.00","       2459.25","       2345.00","       2449.00","       2443.05","       2426.81","    1669570","          4051731094.40","     134989","     875736","         52.45"
"TCS","EQ","17-Dec-2014","       2443.05","       2453.40","       2470.00","       2405.25","       2449.00","       2444.10","       2445.41","    1143538","          2796418557.50","      70509","     640386","         56.00"
"TCS","EQ","18-Dec-2014","       2444.10","       2455.10","       2468.50","       2434.80","       2454.00","       2460.70","       2453.57","     740722","          1817416898.50","      45590","     429572","         57.99"
"TCS","EQ","19-Dec-2014","       2460.70","       2471.30","       2523.75","       2468.00","       2521.95","       2510.55","       2503.39","     951565","          2382141486.70","      57351","     505403","         53.11"
"TCS","EQ","22-Dec-2014","       2510.55","       2526.00","       2529.00","       2474.40","       2513.65","       2513.40","       2495.66","     821977","          2051377849.95","      75446","     498343","         60.63"
"TCS","EQ","23-Dec-2014","       2513.40","       2500.00","       2536.65","       2494.60","       2517.00","       2516.70","       2514.24","     633238","          1592111161.90","      34288","     313846","         49.56"
"TCS","EQ","24-Dec-2014","       2516.70","       2515.00","       2520.85","       2465.65","       2485.00","       2479.90","       2485.30","    1644486","          4087035867.70","      49855","    1095787","         66.63"
"TCS","EQ","26-Dec-2014","       2479.90","       2486.00","       2510.00","       2465.00","       2509.35","       2505.00","       2488.46","     313103","           779143085.60","      18772","     109032","         34.82"
"TCS","EQ","29-Dec-2014","       2505.00","       2508.00","       2536.95","       2507.00","       2521.40","       2522.90","       2522.46","     389460","           982395756.30","      27095","     219364","         56.33"
"TCS","EQ","30-Dec-2014","       2522.90","       2525.00","       2542.45","       2516.00","       2530.00","       2530.05","       2530.17","     350671","           887256474.90","      29747","     174744","         49.83"
"TCS","EQ","31-Dec-2014","       2530.05","       2532.70","       2566.40","       2525.00","       2564.00","       2558.25","       2545.03","     786896","          2002676444.50","      38762","     556967","         70.78"
"TCS","EQ","01-Jan-2015","       2558.25","       2567.00","       2567.00","       2541.00","       2550.00","       2545.55","       2548.51","     183415","           467434456.15","       8002","      52870","         28.83"
"TCS","EQ","02-Jan-2015","       2545.55","       2551.00","       2590.95","       2550.60","       2588.40","       2579.45","       2568.19","     462870","          1188740109.50","      27585","     309350","         66.83"
"TCS","EQ","05-Jan-2015","       2579.45","       2581.00","       2599.90","       2524.65","       2538.10","       2540.25","       2563.94","     877121","          2248885540.95","      43234","     456728","         52.07"
"TCS","EQ","06-Jan-2015","       2540.25","       2529.10","       2529.10","       2440.00","       2450.05","       2446.60","       2466.90","    1211892","          2989615356.45","      84503","     714306","         58.94"
"TCS","EQ","07-Jan-2015","       2446.60","       2470.00","       2479.15","       2407.45","       2426.90","       2417.70","       2433.96","    1318166","          3208362462.05","     101741","     886368","         67.24"
"TCS","EQ","08-Jan-2015","       2417.70","       2442.40","       2449.00","       2420.55","       2446.00","       2443.80","       2434.81","     782704","          1905739344.95","      47699","     450768","         57.59"
"TCS","EQ","09-Jan-2015","       2443.80","       2455.00","       2519.90","       2450.00","       2510.00","       2512.30","       2490.01","    1598821","          3981082206.10","      81743","     865777","         54.15"
"TCS","EQ","12-Jan-2015","       2512.30","       2517.00","       2528.00","       2480.25","       2527.95","       2509.70","       2497.82","     798003","          1993265997.00","      58810","     451228","         56.54"
"TCS","EQ","13-Jan-2015","       2509.70","       2520.00","       2530.40","       2480.10","       2498.00","       2497.90","       2509.40","     734216","          1842440372.80","      49993","     386133","         52.59"
"TCS","EQ","14-Jan-2015","       2497.90","       2516.00","       2531.80","       2500.50","       2525.05","       2521.95","       2517.54","     893548","          2249546195.85","      69237","     498193","         55.75"
"TCS","EQ","15-Jan-2015","       2521.95","       2533.00","       2581.75","       2523.25","       2542.05","       2539.10","       2550.97","    2504960","          6390076185.10","      96363","    1598846","         63.83"
"TCS","EQ","16-Jan-2015","       2539.10","       2543.70","       2545.00","       2484.30","       2526.00","       2532.15","       2511.39","    2646915","          6647444421.00","     127847","    1372200","         51.84"
"TCS","EQ","19-Jan-2015","       2532.15","       2536.00","       2551.00","       2503.00","       2509.00","       2511.00","       2516.06","     567537","          1427954312.25","      38860","     309156","         54.47"
"TCS","EQ","20-Jan-2015","       2511.00","       2520.00","       2530.00","       2483.25","       2498.00","       2500.45","       2498.94","    1029283","          2572121220.80","      58066","     733487","         71.26"
"TCS","EQ","21-Jan-2015","       2500.45","       2522.00","       2522.00","       2488.25","       2518.00","       2513.80","       2507.75","    1155240","          2897054575.55","      75976","     771316","         66.77"
"TCS","EQ","22-Jan-2015","       2513.80","       2516.50","       2521.25","       2495.50","       2511.00","       2513.55","       2509.31","    1056607","          2651354602.65","      74837","     742399","         70.26"
"TCS","EQ","23-Jan-2015","       2513.55","       2514.00","       2532.05","       2496.10","       2504.10","       2503.60","       2507.34","    1575190","          3949529682.50","      94619","    1205911","         76.56"
"TCS","EQ","27-Jan-2015","       2503.60","       2512.35","       2515.00","       2489.55","       2504.20","       2502.05","       2502.26","    1369368","          3426510287.60","      71406","    1079233","         78.81"
"TCS","EQ","28-Jan-2015","       2502.05","       2503.00","       2544.90","       2502.90","       2533.40","       2539.60","       2529.32","    1560990","          3948240029.20","     101994","    1142166","         73.17"
"TCS","EQ","29-Jan-2015","       2539.60","       2538.00","       2568.70","       2512.90","       2560.70","       2544.65","       2531.88","    1867196","          4727519891.70","      67497","    1547590","         82.88"
"TCS","EQ","30-Jan-2015","       2544.65","       2560.70","       2575.00","       2470.00","       2484.00","       2482.05","       2494.94","    2908701","          7257025448.90","     119200","    2355497","         80.98"
"TCS","EQ","02-Feb-2015","       2482.05","       2482.00","       2521.45","       2462.05","       2516.00","       2514.20","       2500.60","    1590901","          3978210627.50","      89485","    1171718","         73.65"
"TCS","EQ","03-Feb-2015","       2514.20","       2511.65","       2565.00","       2507.10","       2552.25","       2558.25","       2536.23","    1172527","          2973793376.90","      75106","     701449","         59.82"
"TCS","EQ","04-Feb-2015","       2558.25","       2568.00","       2571.70","       2502.10","       2514.95","       2514.30","       2523.08","    1122709","          2832686626.95","      60615","     807091","         71.89"
"TCS","EQ","05-Feb-2015","       2514.30","       2520.00","       2591.70","       2519.00","       2553.00","       2552.40","       2558.13","    2265084","          5794386346.15","      77935","    1638106","         72.32"
"TCS","EQ","06-Feb-2015","       2552.40","       2553.00","       2594.80","       2550.85","       2576.10","       2575.75","       2578.40","    1068208","          2754264728.50","      82449","     582019","         54.49"
"TCS","EQ","09-Feb-2015","       2575.75","       2561.50","       2569.10","       2500.00","       2512.00","       2512.90","       2531.83","    1038216","          2628585064.50","      72967","     695542","         66.99"
"TCS","EQ","10-Feb-2015","       2512.90","       2510.00","       2526.25","       2433.00","       2445.50","       2441.15","       2473.88","    1899527","          4699201090.95","     114773","    1383973","         72.86"
"TCS","EQ","11-Feb-2015","       2441.15","       2455.05","       2487.25","       2447.25","       2460.00","       2459.90","       2468.94","    1468761","          3626283022.70","     115345","    1143243","         77.84"
"TCS","EQ","12-Feb-2015","       2459.90","       2479.80","       2479.80","       2447.00","       2469.00","       2462.15","       2462.56","    1553990","          3826786521.05","     113845","    1269759","         81.71"
"TCS","EQ","13-Feb-2015","       2462.15","       2470.00","       2547.75","       2460.25","       2540.00","       2538.75","       2508.49","    2079163","          5215563169.75","     132132","    1521051","         73.16"
"TCS","EQ","16-Feb-2015","       2538.75","       2560.00","       2595.00","       2555.00","       2581.70","       2584.80","       2576.98","    1182196","          3046491822.15","      82111","     831991","         70.38"
"TCS","EQ","18-Feb-2015","       2584.80","       2585.05","       2643.00","       2565.25","       2640.00","       2635.65","       2605.04","    1330007","          3464715998.00","      70475","     792678","         59.60"
"TCS","EQ","19-Feb-2015","       2635.65","       2636.00","       2687.30","       2635.00","       2674.55","       2681.05","       2660.47","    1309001","          3482564216.15","      80730","     831048","         63.49"
"TCS","EQ","20-Feb-2015","       2681.05","       2698.80","       2698.80","       2642.25","       2664.65","       2675.55","       2672.56","     900794","          2407423105.40","      43830","     537225","         59.64"
"TCS","EQ","23-Feb-2015","       2675.55","       2671.00","       2722.00","       2671.00","       2700.00","       2696.65","       2701.93","     807446","          2181659977.30","      47641","     362669","         44.92"
"TCS","EQ","24-Feb-2015","       2696.65","       2694.00","       2730.00","       2679.00","       2699.35","       2704.75","       2709.36","    1099961","          2980186374.15","      46480","     685771","         62.35"
"TCS","EQ","25-Feb-2015","       2704.75","       2710.00","       2722.00","       2667.85","       2669.70","       2672.20","       2694.16","     883997","          2381629633.95","      43048","     546944","         61.87"
"TCS","EQ","26-Feb-2015","       2672.20","       2679.00","       2692.75","       2625.35","       2649.50","       2656.45","       2655.31","     995997","          2644680139.00","      56829","     565254","         56.75"
"TCS","EQ","27-Feb-2015","       2656.45","       2659.45","       2675.75","       2616.30","       2668.00","       2662.35","       2647.84","    1438688","          3809421137.30","      74413","    1003079","         69.72"
"TCS","EQ","28-Feb-2015","       2662.35","       2677.00","       2687.10","       2643.00","       2679.55","       2675.25","       2668.12","     589498","          1572848976.85","      30189","     271598","         46.07"
"TCS","EQ","02-Mar-2015","       2675.25","       2679.70","       2708.95","       2652.55","       2673.95","       2669.40","       2664.97","    1088019","          2899536306.85","      64343","     770649","         70.83"
"TCS","EQ","03-Mar-2015","       2669.40","       2682.00","       2790.00","       2676.15","       2785.10","       2776.00","       2748.34","    1712154","          4705576546.90","      74770","    1068918","         62.43"
"TCS","EQ","04-Mar-2015","       2776.00","       2788.00","       2812.10","       2715.65","       2740.00","       2746.00","       2763.04","    1931497","          5336806165.40","      71983","    1405748","         72.78"
"TCS","EQ","05-Mar-2015","       2746.00","       2750.00","       2770.70","       2681.05","       2690.10","       2696.45","       2713.59","    1086757","          2949013378.05","      45126","     677138","         62.31"
"TCS","EQ","09-Mar-2015","       2696.45","       2640.00","       2679.80","       2610.00","       2649.00","       2646.80","       2647.72","    1441587","          3816922360.75","      64488","     864858","         59.99"
"TCS","EQ","10-Mar-2015","       2646.80","       2648.90","       2678.25","       2595.25","       2638.85","       2642.70","       2632.78","    1518526","          3997941404.60","      89030","     910422","         59.95"
"TCS","EQ","11-Mar-2015","       2642.70","       2642.00","       2659.95","       2597.80","       2605.15","       2606.55","       2622.90","    1120100","          2937908675.55","      52147","     616835","         55.07"
"TCS","EQ","12-Mar-2015","       2606.55","       2623.90","       2624.90","       2590.10","       2618.20","       2619.05","       2606.76","     913818","          2382100177.60","      62767","     582972","         63.80"
"TCS","EQ","13-Mar-2015","       2619.05","       2638.00","       2639.95","       2575.00","       2585.00","       2582.35","       2594.75","     793419","          2058721256.80","      67541","     481480","         60.68"
"TCS","EQ","16-Mar-2015","       2582.35","       2585.20","       2610.00","       2552.00","       2560.60","       2562.30","       2579.88","     778148","          2007532252.95","      44209","     484279","         62.23"
"TCS","EQ","17-Mar-2015","       2562.30","       2582.50","       2606.70","       2557.75","       2583.65","       2583.70","       2582.66","     633659","          1636526939.25","      56639","     368300","         58.12"
"TCS","EQ","18-Mar-2015","       2583.70","       2590.95","       2599.45","       2551.70","       2556.00","       2559.35","       2561.86","     627585","          1607785038.90","      38991","     364010","         58.00"
"TCS","EQ","19-Mar-2015","       2559.35","       2576.00","       2605.85","       2568.10","       2602.00","       2596.25","       2596.45","    1224482","          3179303472.45","      71701","     888461","         72.56"
"TCS","EQ","20-Mar-2015","       2596.25","       2596.00","       2618.00","       2578.85","       2610.85","       2610.95","       2608.50","     981954","          2561422702.35","      74415","     714293","         72.74"
"TCS","EQ","23-Mar-2015","       2610.95","       2616.00","       2631.00","       2606.00","       2616.00","       2617.15","       2616.73","     783304","          2049695322.00","      59518","     575211","         73.43"
"TCS","EQ","24-Mar-2015","       2617.15","       2630.00","       2637.00","       2582.10","       2600.00","       2591.30","       2617.59","    1197439","          3134409333.10","      58016","     848633","         70.87"
"TCS","EQ","25-Mar-2015","       2591.30","       2591.40","       2614.00","       2545.20","       2569.85","       2573.75","       2575.29","    1112429","          2864826904.40","      75792","     825133","         74.17"
"TCS","EQ","26-Mar-2015","       2573.75","       2553.30","       2586.70","       2501.00","       2515.00","       2513.10","       2535.65","    1545821","          3919665456.65","      82115","    1110655","         71.85"
"TCS","EQ","27-Mar-2015","       2513.10","       2531.00","       2571.90","       2504.10","       2519.90","       2514.80","       2536.73","    1375888","          3490257167.90","      76990","     947653","         68.88"
"TCS","EQ","30-Mar-2015","       2514.80","       2525.00","       2569.90","       2520.00","       2554.20","       2564.15","       2546.18","     669503","          1704674647.90","      64141","     461568","         68.94"
"TCS","EQ","31-Mar-2015","       2564.15","       2569.45","       2569.45","       2521.00","       2560.00","       2553.95","       2548.15","    1213514","          3092215331.60","      88908","     862309","         71.06"
"TCS","EQ","01-Apr-2015","       2553.95","       2558.00","       2563.60","       2522.25","       2544.05","       2542.65","       2538.81","    1037879","          2634981317.45","      54078","     784911","         75.63"
"TCS","EQ","06-Apr-2015","       2542.65","       2558.00","       2562.90","       2500.10","       2548.30","       2547.30","       2531.53","     784271","          1985404796.80","      45408","     485665","         61.93"
"TCS","EQ","07-Apr-2015","       2547.30","       2562.45","       2599.00","       2544.00","       2588.95","       2585.00","       2571.50","     943461","          2426111369.05","      77106","     562689","         59.64"
"TCS","EQ","08-Apr-2015","       2585.00","       2594.00","       2656.50","       2590.85","       2646.00","       2641.40","       2632.00","     826067","          2174208279.40","      61358","     496296","         60.08"
"TCS","EQ","09-Apr-2015","       2641.40","       2659.00","       2687.45","       2635.15","       2662.60","       2664.55","       2658.35","    1272225","          3382017714.75","      62583","     902143","         70.91"
"TCS","EQ","10-Apr-2015","       2664.55","       2648.50","       2670.80","       2628.00","       2651.10","       2653.75","       2648.39","     907772","          2404135142.80","      63471","     625228","         68.88"
"TCS","EQ","13-Apr-2015","       2653.75","       2664.00","       2665.00","       2628.00","       2653.85","       2655.50","       2650.09","     654321","          1734011442.10","      54293","     451036","         68.93"
"TCS","EQ","15-Apr-2015","       2655.50","       2654.70","       2713.90","       2609.40","       2618.95","       2627.75","       2646.26","    1456967","          3855513024.70","      74856","     927588","         63.67"
"TCS","EQ","16-Apr-2015","       2627.75","       2626.95","       2627.00","       2571.35","       2574.00","       2582.80","       2589.79","    1608785","          4166416079.20","      71768","    1002627","         62.32"
"TCS","EQ","17-Apr-2015","       2582.80","       2557.10","       2560.00","       2470.00","       2473.90","       2474.85","       2495.54","    4834371","         12064349822.95","     167402","    2989132","         61.83"
"TCS","EQ","20-Apr-2015","       2474.85","       2480.05","       2483.90","       2424.85","       2426.00","       2428.80","       2439.46","    1445361","          3525902673.95","      84591","     916671","         63.42"
"TCS","EQ","21-Apr-2015","       2428.80","       2428.80","       2452.00","       2401.00","       2427.05","       2427.05","       2430.81","    1273016","          3094465305.15","      83843","     816116","         64.11"
"TCS","EQ","22-Apr-2015","       2427.05","       2431.50","       2473.00","       2407.55","       2470.60","       2445.10","       2428.26","    2093406","          5083342117.00","     101821","    1643446","         78.51"
"TCS","EQ","23-Apr-2015","       2445.10","       2472.00","       2479.80","       2431.70","       2455.00","       2457.25","       2460.81","    2171495","          5343637553.60","      80541","    1743765","         80.30"
"TCS","EQ","24-Apr-2015","       2457.25","       2455.30","       2514.00","       2447.55","       2509.60","       2493.05","       2488.25","    1812579","          4510146387.85","     130453","    1306431","         72.08"
"TCS","EQ","27-Apr-2015","       2493.05","       2499.50","       2520.00","       2486.00","       2500.00","       2500.20","       2501.44","    1366526","          3418280027.90","      81966","     986807","         72.21"
"TCS","EQ","28-Apr-2015","       2500.20","       2510.00","       2510.00","       2455.10","       2493.00","       2495.00","       2477.16","    1544149","          3825105916.30","     128979","    1197833","         77.57"
"TCS","EQ","29-Apr-2015","       2495.00","       2484.00","       2495.00","       2451.05","       2481.00","       2487.30","       2472.31","    1009810","          2496559484.65","     100184","     626278","         62.02"
"TCS","EQ","30-Apr-2015","       2487.30","       2480.00","       2490.00","       2427.10","       2476.00","       2463.70","       2461.06","    1869027","          4599778448.70","     101021","    1353129","         72.40"
"TCS","EQ","04-May-2015","       2463.70","       2491.00","       2504.80","       2457.20","       2482.25","       2481.55","       2476.14","     945315","          2340736972.15","      83359","     655734","         69.37"
"TCS","EQ","05-May-2015","       2481.55","       2501.00","       2536.45","       2500.00","       2519.00","       2517.85","       2518.94","    1627535","          4099661485.45","      69702","    1015019","         62.37"
"TCS","EQ","06-May-2015","       2517.85","       2515.00","       2515.00","       2455.80","       2463.00","       2463.05","       2468.46","    1697203","          4189477161.70","      97392","    1156742","         68.16"
"TCS","EQ","07-May-2015","       2463.05","       2464.90","       2553.75","       2453.70","       2550.00","       2545.25","       2522.63","    1602514","          4042557510.35","      63417","    1086092","         67.77"
"TCS","EQ","08-May-2015","       2545.25","       2560.00","       2588.00","       2516.30","       2530.00","       2527.25","       2552.07","    1501832","          3832785394.50","      53709","    1023782","         68.17"
"TCS","EQ","11-May-2015","       2527.25","       2535.00","       2563.05","       2525.00","       2559.00","       2556.00","       2550.07","    1286541","          3280765489.15","      73023","     931788","         72.43"
"TCS","EQ","12-May-2015","       2556.00","       2560.00","       2565.00","       2513.00","       2523.95","       2522.90","       2524.91","    1233693","          3114957842.50","      71964","     949366","         76.95"
"TCS","EQ","13-May-2015","       2522.90","       2547.00","       2547.00","       2480.45","       2523.10","       2515.40","       2510.43","     931887","          2339441725.00","      53692","     473256","         50.78"
"TCS","EQ","14-May-2015","       2515.40","       2520.00","       2520.00","       2485.00","       2499.00","       2499.25","       2495.09","     654525","          1633096280.80","      40174","     381895","         58.35"
"TCS","EQ","15-May-2015","       2499.25","       2515.00","       2532.40","       2501.00","       2511.00","       2511.15","       2512.17","     730727","          1835713056.60","      32934","     515976","         70.61"
"TCS","EQ","18-May-2015","       2511.15","       2514.10","       2525.25","       2497.10","       2515.15","       2520.40","       2505.41","    2253876","          5646890602.55","      50845","    2006146","         89.01"
"TCS","EQ","19-May-2015","       2520.40","       2519.40","       2530.00","       2496.75","       2512.00","       2512.70","       2511.97","     978861","          2458873706.45","      37527","     686093","         70.09"
"TCS","EQ","20-May-2015","       2512.70","       2520.00","       2569.90","       2516.90","       2557.00","       2557.05","       2550.08","     948907","          2419790057.75","      41995","     571725","         60.25"
"TCS","EQ","21-May-2015","       2557.05","       2557.00","       2580.00","       2548.15","       2551.90","       2555.50","       2565.83","     789789","          2026463607.90","      40459","     563782","         71.38"
"TCS","EQ","22-May-2015","       2555.50","       2550.00","       2628.75","       2539.25","       2621.80","       2617.90","       2594.64","    1345816","          3491905915.45","      52428","     992008","         73.71"
"TCS","EQ","25-May-2015","       2617.90","       2620.00","       2636.90","       2585.70","       2600.05","       2601.00","       2606.03","     491489","          1280833581.80","      30375","     263444","         53.60"
"TCS","EQ","26-May-2015","       2601.00","       2605.00","       2623.25","       2588.90","       2614.95","       2608.85","       2610.17","     980870","          2560241038.10","      34315","     705361","         71.91"
"TCS","EQ","27-May-2015","       2608.85","       2608.00","       2633.15","       2592.00","       2610.00","       2615.25","       2615.75","     810345","          2119662471.05","      50501","     600904","         74.15"
"TCS","EQ","28-May-2015","       2615.25","       2603.90","       2623.00","       2582.25","       2615.90","       2609.50","       2606.60","    1381804","          3601809691.70","      52267","    1070716","         77.49"
"TCS","EQ","29-May-2015","       2609.50","       2617.00","       2648.60","       2597.25","       2621.55","       2610.30","       2614.52","    2211766","          5782695514.75","      83932","    1686200","         76.24"
"TCS","EQ","01-Jun-2015","       2610.30","       2609.45","       2647.10","       2608.35","       2615.20","       2617.75","       2622.43","     441132","          1156839898.00","      35794","     251151","         56.93"
"TCS","EQ","02-Jun-2015","       2617.75","       2616.00","       2630.00","       2590.50","       2605.00","       2599.90","       2605.54","    1967910","          5127471871.10","      54815","    1605076","         81.56"
"TCS","EQ","03-Jun-2015","       2599.90","       2604.00","       2625.60","       2590.50","       2612.00","       2610.90","       2611.60","     902342","          2356551996.60","      41440","     635538","         70.43"
"TCS","EQ","04-Jun-2015","       2610.90","       2617.10","       2622.80","       2588.50","       2600.20","       2605.65","       2606.81","    2065734","          5384974459.95","      44653","    1816025","         87.91"
"TCS","EQ","05-Jun-2015","       2605.65","       2592.00","       2609.00","       2570.00","       2577.50","       2575.85","       2583.52","    1154267","          2982066457.60","      52168","     848596","         73.52"
"TCS","EQ","08-Jun-2015","       2575.85","       2590.00","       2590.00","       2561.65","       2580.00","       2577.45","       2576.28","     785160","          2022788959.20","      62168","     543370","         69.21"
"TCS","EQ","09-Jun-2015","       2577.45","       2585.00","       2590.00","       2551.00","       2561.95","       2561.65","       2574.52","    1289457","          3319735632.70","      63744","    1099487","         85.27"
"TCS","EQ","10-Jun-2015","       2561.65","       2566.00","       2610.00","       2563.80","       2600.00","       2600.75","       2586.57","    1381675","          3573803308.30","      42817","    1122720","         81.26"
"TCS","EQ","11-Jun-2015","       2600.75","       2605.50","       2613.00","       2556.75","       2564.25","       2571.30","       2585.02","     923668","          2387698129.70","      37803","     658949","         71.34"
"TCS","EQ","12-Jun-2015","       2571.30","       2571.90","       2588.95","       2476.80","       2520.00","       2505.80","       2526.70","    1285728","          3248652193.85","      80056","     700457","         54.48"
"TCS","EQ","15-Jun-2015","       2505.80","       2505.30","       2520.45","       2481.00","       2509.50","       2504.80","       2503.06","    1262588","          3160335340.25","      57691","    1008687","         79.89"
"TCS","EQ","16-Jun-2015","       2504.80","       2500.00","       2519.30","       2494.45","       2508.00","       2512.00","       2510.70","     633698","          1591026187.10","      41162","     481883","         76.04"
"TCS","EQ","17-Jun-2015","       2512.00","       2521.00","       2529.15","       2501.80","       2512.00","       2513.80","       2516.05","     987860","          2485504053.10","      88734","     698348","         70.69"
"TCS","EQ","18-Jun-2015","       2513.80","       2515.00","       2546.30","       2508.00","       2522.00","       2530.05","       2533.09","    1082523","          2742123536.10","      83019","     764949","         70.66"
"TCS","EQ","19-Jun-2015","       2530.05","       2535.00","       2555.00","       2527.10","       2550.00","       2549.55","       2546.79","     999805","          2546296337.65","      50051","     769320","         76.95"
"TCS","EQ","22-Jun-2015","       2549.55","       2547.00","       2600.00","       2547.00","       2598.30","       2591.50","       2587.10","     551001","          1425494777.35","      43692","     317646","         57.65"
"TCS","EQ","23-Jun-2015","       2591.50","       2600.00","       2608.00","       2567.20","       2585.90","       2574.60","       2582.03","     449159","          1159740003.65","      30619","     280403","         62.43"
"TCS","EQ","24-Jun-2015","       2574.60","       2580.00","       2587.90","       2558.85","       2568.70","       2570.30","       2573.22","     585123","          1505651661.50","      39464","     331254","         56.61"
"TCS","EQ","25-Jun-2015","       2570.30","       2562.00","       2573.00","       2544.15","       2552.00","       2550.00","       2553.80","     965496","          2465682192.55","      36543","     728243","         75.43"
"TCS","EQ","26-Jun-2015","       2550.00","       2550.20","       2596.35","       2550.20","       2590.10","       2592.80","       2579.82","     645051","          1664112381.55","      34240","     356380","         55.25"
"TCS","EQ","29-Jun-2015","       2592.80","       2572.00","       2604.00","       2543.40","       2599.00","       2592.90","       2569.67","     686378","          1763768234.70","      35008","     263984","         38.46"
"TCS","EQ","30-Jun-2015","       2592.90","       2585.00","       2588.75","       2540.00","       2555.00","       2550.95","       2557.03","     774976","          1981634326.05","      34960","     468575","         60.46"
"TCS","EQ","01-Jul-2015","       2550.95","       2563.90","       2608.00","       2556.75","       2600.00","       2593.10","       2584.41","     639854","          1653643739.50","      50229","     405105","         63.31"
"TCS","EQ","02-Jul-2015","       2593.10","       2600.00","       2602.95","       2571.05","       2582.00","       2577.75","       2583.81","     722940","          1867939583.95","      63066","     441786","         61.11"
"TCS","EQ","03-Jul-2015","       2577.75","       2573.05","       2610.00","       2570.00","       2603.10","       2603.90","       2595.18","     481735","          1250190067.60","      34612","     263852","         54.77"
"TCS","EQ","06-Jul-2015","       2603.90","       2580.30","       2645.00","       2580.30","       2629.70","       2633.30","       2613.46","     591169","          1544998843.40","      31304","     280866","         47.51"
"TCS","EQ","07-Jul-2015","       2633.30","       2632.75","       2646.90","       2603.00","       2623.90","       2616.25","       2627.79","     821418","          2158510413.05","      51719","     531468","         64.70"
"TCS","EQ","08-Jul-2015","       2616.25","       2597.95","       2621.70","       2580.50","       2591.70","       2595.10","       2596.66","    1333925","          3463745328.60","      85552","     956051","         71.67"
"TCS","EQ","09-Jul-2015","       2595.10","       2595.00","       2598.25","       2506.65","       2529.35","       2522.50","       2540.37","    1967061","          4997069436.90","     142048","    1156795","         58.81"
"TCS","EQ","10-Jul-2015","       2522.50","       2559.00","       2559.00","       2455.00","       2467.00","       2474.35","       2489.45","    4131827","         10285990404.90","     211247","    2279427","         55.17"
"TCS","EQ","13-Jul-2015","       2474.35","       2475.40","       2518.60","       2475.40","       2506.10","       2509.55","       2502.25","    1140154","          2852946095.45","      53024","     672149","         58.95"
"TCS","EQ","14-Jul-2015","       2509.55","       2511.00","       2515.00","       2490.00","       2498.85","       2499.50","       2499.62","     851637","          2128767355.85","      49611","     583671","         68.54"
"TCS","EQ","15-Jul-2015","       2499.50","       2501.00","       2549.95","       2500.00","       2548.00","       2545.75","       2534.53","    1001830","          2539169259.65","      76369","     665637","         66.44"
"TCS","EQ","16-Jul-2015","       2545.75","       2543.70","       2558.85","       2526.60","       2534.90","       2540.20","       2543.54","     728304","          1852469301.05","      58974","     449458","         61.71"
"TCS","EQ","17-Jul-2015","       2540.20","       2546.80","       2570.10","       2543.30","       2563.25","       2564.40","       2558.02","     535263","          1369212462.55","      39534","     299824","         56.01"
"TCS","EQ","20-Jul-2015","       2564.40","       2564.00","       2583.90","       2551.90","       2579.95","       2579.15","       2571.54","     426893","          1097773967.55","      38037","     243186","         56.97"
"TCS","EQ","21-Jul-2015","       2579.15","       2576.00","       2600.35","       2555.10","       2561.70","       2561.40","       2574.93","     637250","          1640874811.80","      52304","     399441","         62.68"
"TCS","EQ","22-Jul-2015","       2561.40","       2561.00","       2569.00","       2521.05","       2530.90","       2528.05","       2532.40","     660314","          1672180248.40","      44395","     450257","         68.19"
"TCS","EQ","23-Jul-2015","       2528.05","       2517.50","       2537.85","       2483.00","       2492.05","       2488.60","       2505.27","     748390","          1874916485.40","      34659","     491798","         65.71"
"TCS","EQ","24-Jul-2015","       2488.60","       2497.50","       2516.50","       2492.10","       2507.10","       2505.15","       2506.09","     787486","          1973508444.60","      38528","     512154","         65.04"
"TCS","EQ","27-Jul-2015","       2505.15","       2488.00","       2505.00","       2481.15","       2501.15","       2497.05","       2496.91","    1001869","          2501578423.65","      65507","     798854","         79.74"
"TCS","EQ","28-Jul-2015","       2497.05","       2499.50","       2519.00","       2492.15","       2509.70","       2502.05","       2509.48","     945594","          2372947975.75","      48484","     759857","         80.36"
"TCS","EQ","29-Jul-2015","       2502.05","       2511.00","       2515.05","       2483.50","       2515.00","       2506.75","       2501.68","    1206659","          3018671545.30","      85826","     966402","         80.09"
"TCS","EQ","30-Jul-2015","       2506.75","       2516.05","       2516.80","       2472.80","       2472.80","       2480.65","       2490.30","    1385287","          3449782850.45","      77684","    1230247","         88.81"
"TCS","EQ","31-Jul-2015","       2480.65","       2489.90","       2519.00","       2487.00","       2511.45","       2510.75","       2502.23","     981888","          2456907019.80","      67496","     675985","         68.85"
"TCS","EQ","03-Aug-2015","       2510.75","       2503.40","       2525.00","       2500.90","       2508.00","       2509.60","       2514.14","     589662","          1482492014.75","      50976","     404877","         68.66"
"TCS","EQ","04-Aug-2015","       2509.60","       2510.40","       2523.00","       2486.00","       2510.00","       2508.90","       2500.32","    1171346","          2928737113.80","      82052","     973725","         83.13"
"TCS","EQ","05-Aug-2015","       2508.90","       2520.00","       2550.00","       2511.00","       2544.55","       2547.15","       2539.25","     494497","          1255652001.55","      46758","     339571","         68.67"
